MB1	61.18218	146.86687		507159.2	6783087
MB2	61.26607	146.75124		513341.7	6792449.4
MB3	61.26254	146.9523		502558.6	6792031.8
GPShigh	61.38268	147.1338		492850.5	6805420.5
GPSmid	61.41245	147.03772		497986.4	6808729.9
GPSlow	61.39161	146.92691		503904.4	6806410.1
Acc1	61.31458	146.8175		509772.9	6797841.2
Acc2	61.29194	146.9955		500241.1	6795305.7
